award_id,agency,firm_name,firm_state,award_amount,award_date,award_year,phase,topic_code,primary_cet,primary_score,classification,supporting_cet_1,supporting_score_1,supporting_cet_2,supporting_score_2,text_length,has_abstract,has_solicitation
0319666,NSF,"Biovitesse, Inc.",CA,100000.0,2003-07-01,2003,Other,UNKNOWN,artificial_intelligence,73.41277393710905,High,biotechnology,23.477600815728582,advanced_materials,1.3616867000591628,847,True,False
0319301,NSF,LUNA INNOVATIONS INCORPORATED,VA,99980.0,2003-07-01,2003,Other,UNKNOWN,artificial_intelligence,60.45153573421583,Medium,biotechnology,34.25641566708533,advanced_materials,3.573427461568145,1523,True,False
0711660,NSF,MGX,TN,150000.0,2007-07-01,2007,Other,BT,biotechnology,89.2526028109952,High,artificial_intelligence,8.514950374735795,advanced_materials,1.6376590345707542,1646,True,True
0637256,NSF,Amber Waves Software,PA,99419.0,2007-07-01,2007,Other,IT,artificial_intelligence,83.15078391990797,High,data_analytics,11.878475227879582,biotechnology,3.874652099046866,1696,True,True
0418989,NSF,Kuehnle AgroSystems Corporation,HI,92850.0,2004-07-01,2004,Other,BT,biotechnology,90.43375857511717,High,artificial_intelligence,7.974785953921769,advanced_materials,0.9396802680183157,806,True,True
0320072,NSF,"Biodetection Instruments, Inc",AR,500000.0,2004-07-01,2004,Other,UNKNOWN,artificial_intelligence,73.73129860930362,High,biotechnology,21.68060721523999,advanced_materials,2.5768722212541393,1554,True,False
0233047,NSF,"MEMBRANE TECHNOLOGY AND RESEARCH, INC.",CA,500000.0,2004-07-01,2004,Other,UNKNOWN,artificial_intelligence,43.554596945190056,Medium,advanced_materials,33.82229293109355,biotechnology,21.766099409849428,1278,True,False
0839332,NSF,"Accio Energy, Inc.",MI,147793.0,2009-07-01,2009,Other,EL,artificial_intelligence,69.44251950015516,Medium,biotechnology,24.906869738789762,advanced_materials,2.7804985864186347,1709,True,True
17334,NSF,"INCOM, INC.",MA,50000.0,1992-07-01,1992,Other,UNKNOWN,artificial_intelligence,77.11215080307728,High,biotechnology,19.486558640542352,advanced_materials,1.754299765132379,108,True,False
0319663,NSF,"Purevision Technology, Inc.",CO,99633.0,2003-07-01,2003,Other,UNKNOWN,advanced_materials,43.79463003478072,Medium,artificial_intelligence,29.836186735968788,biotechnology,24.37297251572481,1633,True,False
0839323,NSF,"PHOENIX BIOSYSTEM, INC.",CA,450495.0,2010-07-01,2010,Other,BC,artificial_intelligence,59.751975325870035,Medium,biotechnology,37.58436825631364,advanced_materials,1.5511367269190621,1657,True,True
0930029,NSF,"Oshkosh Nanotechnology, LLC",WI,149824.0,2009-07-01,2009,Other,MM,advanced_materials,43.64440423310245,Medium,artificial_intelligence,21.77577962405807,biotechnology,18.83976775179074,2601,True,True
0712296,NSF,"ManningRF, LLC",NC,96538.0,2007-07-01,2007,Other,EL,artificial_intelligence,85.09301872280001,High,biotechnology,11.951723091824567,data_analytics,1.5920874935636125,1808,True,True
33638,NSF,CHT Engineering Systems,SD,48770.0,1996-07-01,1996,Other,UNKNOWN,artificial_intelligence,77.11215080307728,High,biotechnology,19.486558640542352,advanced_materials,1.754299765132379,108,True,False
29990,NSF,3dgeo Development Inc.,CA,64980.0,1995-07-01,1995,Other,UNKNOWN,artificial_intelligence,77.11215080307728,High,biotechnology,19.486558640542352,advanced_materials,1.754299765132379,108,True,False
0912586,NSF,"SYZYGY MEMORY PLASTICS CORP., THE",TX,499994.0,2010-07-01,2010,Other,BC,artificial_intelligence,54.00424862052535,Medium,advanced_materials,27.48758337201762,biotechnology,13.774263107740895,2728,True,True
0712428,NSF,PHOTODIGM INC,TX,499957.0,2009-07-01,2009,Other,UNKNOWN,artificial_intelligence,66.86133205368199,Medium,semiconductors,21.821192075778384,biotechnology,6.861350153150736,1859,True,False
21757,NSF,PARTICLE SYSTEMS,FL,50000.0,1993-07-01,1993,Other,UNKNOWN,artificial_intelligence,77.11215080307728,High,biotechnology,19.486558640542352,advanced_materials,1.754299765132379,108,True,False
7463,NSF,Applied Sciences Inc.,OH,48000.0,1988-07-01,1988,Other,UNKNOWN,advanced_materials,87.00772374503887,High,artificial_intelligence,6.819854672348642,biotechnology,5.015543960839506,1064,True,False
27537,NSF,"INNOVATIVE RESEARCH, INC.",MN,65000.0,1994-07-01,1994,Other,UNKNOWN,artificial_intelligence,78.09967840839788,High,biotechnology,16.72957047159855,advanced_materials,3.552019758552937,1427,True,False
0712408,NSF,BLUE WAVE SEMICONDUCTORS INC,MD,477624.0,2009-07-01,2009,Other,EL,artificial_intelligence,61.28685034927221,Medium,biotechnology,32.442514255657734,semiconductors,3.877541833867199,1375,True,True
11839,NSF,Physical Optics Corporation,CA,249982.0,1991-07-01,1991,Other,UNKNOWN,artificial_intelligence,68.64401722393261,Medium,biotechnology,23.001116114573684,advanced_materials,5.609870710930561,1172,True,False
5199,NSF,Aeta Corp,NH,40000.0,1987-07-01,1987,Other,UNKNOWN,biotechnology,70.31612955335311,High,artificial_intelligence,28.32425552646487,advanced_materials,0.6003986091629442,1852,True,False
